"COM","TNCC","NCC","NCCENR","LIBELLE","DATE_DEBUT","DATE_FIN"
"01194","0","JASSANS RIOTTIER","Jassans-Riottier","Jassans-Riottier","1943-01-01",""
"01195","0","JASSERON","Jasseron","Jasseron","1943-01-01",""
"01196","0","JAYAT","Jayat","Jayat","1943-01-01",""
"01197","0","JOURNANS","Journans","Journans","1943-01-01",""
"01198","0","JOYEUX","Joyeux","Joyeux","1943-01-01",""
"01199","0","JUJURIEUX","Jujurieux","Jujurieux","1943-01-01",""
"01200","0","LABALME","Labalme","Labalme","1943-01-01",""
"01201","0","LACOUX","Lacoux","Lacoux","1943-01-01","1964-09-01"
"01202","0","LAGNIEU","Lagnieu","Lagnieu","1943-01-01",""
"01203","0","LAIZ","Laiz","Laiz","1943-01-01",""
"01204","0","LALLEYRIAT","Lalleyriat","Lalleyriat","1943-01-01","2016-01-01"
"01204","2","POIZAT LALLEYRIAT","Poizat-Lalleyriat","Le Poizat-Lalleyriat","2016-01-01",""
"01205","0","LANCRANS","Lancrans","Lancrans","1943-01-01","2019-01-01"
"01206","0","LANTENAY","Lantenay","Lantenay","1943-01-01",""
"01207","0","LAPEYROUSE","Lapeyrouse","Lapeyrouse","1943-01-01",""
"01208","0","LAVOURS","Lavours","Lavours","1943-01-01",""
"01209","0","LEAZ","Léaz","Léaz","1943-01-01",""
"01210","0","LELEX","Lélex","Lélex","1943-01-01",""
"01211","0","LENT","Lent","Lent","1943-01-01",""
"01212","0","LESCHEROUX","Lescheroux","Lescheroux","1943-01-01",""
"01213","0","LEYMENT","Leyment","Leyment","1943-01-01",""
"01214","0","LEYSSARD","Leyssard","Leyssard","1943-01-01",""
"01215","0","LHOPITAL","Lhôpital","Lhôpital","1943-01-01","2019-01-01"
"01215","0","SURJOUX LHOPITAL","Surjoux-Lhopital","Surjoux-Lhopital","2019-01-01",""
"01216","0","LHUIS","Lhuis","Lhuis","1943-01-01",""
"01217","0","LILIGNOD","Lilignod","Lilignod","1943-01-01","1973-01-01"
"01218","0","LOCHIEU","Lochieu","Lochieu","1943-01-01","2019-01-01"
"01219","0","LOMPNAS","Lompnas","Lompnas","1943-01-01",""
"01221","0","LOMPNIEU","Lompnieu","Lompnieu","1943-01-01","2019-01-01"
"01222","0","LONGECOMBE","Longecombe","Longecombe","1943-01-01","1964-09-01"
"01223","0","LOYES","Loyes","Loyes","1943-01-01","1974-01-01"
"01224","0","LOYETTES","Loyettes","Loyettes","1943-01-01",""
"01225","0","LURCY","Lurcy","Lurcy","1943-01-01",""
"01226","0","LUTHEZIEU","Luthézieu","Luthézieu","1943-01-01","1974-11-01"
"01227","0","MAGNIEU","Magnieu","Magnieu","1943-01-01",""
"01228","0","MAILLAT","Maillat","Maillat","1943-01-01",""
"01229","0","MALAFRETAZ","Malafretaz","Malafretaz","1943-01-01",""
"01230","0","MANTENAY MONTLIN","Mantenay-Montlin","Mantenay-Montlin","1943-01-01",""
"01231","0","MANZIAT","Manziat","Manziat","1943-01-01",""
"01232","0","MARBOZ","Marboz","Marboz","1943-01-01",""
"01233","0","MARCHAMP","Marchamp","Marchamp","1943-01-01",""
"01234","0","MARIGNIEU","Marignieu","Marignieu","1943-01-01",""
"01235","0","MARLIEUX","Marlieux","Marlieux","1943-01-01",""
"01236","0","MARSONNAS","Marsonnas","Marsonnas","1943-01-01",""
"01237","0","MARTIGNAT","Martignat","Martignat","1943-01-01",""
"01238","0","MASSIEUX","Massieux","Massieux","1943-01-01",""
"01239","0","MASSIGNIEU DE RIVES","Massignieu-de-Rives","Massignieu-de-Rives","1943-01-01",""
"01240","0","MATAFELON","Matafelon","Matafelon","1943-01-01","1973-01-01"
"01240","0","MATAFELON GRANGES","Matafelon-Granges","Matafelon-Granges","1973-01-01",""
"01241","0","MEILLONNAS","Meillonnas","Meillonnas","1943-01-01",""
"01242","0","MERIGNAT","Mérignat","Mérignat","1943-01-01",""
"01243","0","MESSIMY","Messimy","Messimy","1943-01-01","1983-01-14"
"01243","0","MESSIMY SUR SAONE","Messimy-sur-Saône","Messimy-sur-Saône","1983-01-14",""
"01244","0","MEXIMIEUX","Meximieux","Meximieux","1943-01-01",""
"01245","0","MEYRIAT","Meyriat","Meyriat","1943-01-01","1974-01-01"
"01245","0","BOHAS MEYRIAT RIGNAT","Bohas-Meyriat-Rignat","Bohas-Meyriat-Rignat","1974-01-01",""
"01246","0","MEZERIAT","Mézériat","Mézériat","1943-01-01",""
"01247","0","MIJOUX","Mijoux","Mijoux","1943-01-01",""
"01248","0","MIONNAY","Mionnay","Mionnay","1943-01-01",""
"01249","0","MIRIBEL","Miribel","Miribel","1943-01-01",""
"01250","0","MISERIEUX","Misérieux","Misérieux","1943-01-01",""
"01251","0","MOENS","Moëns","Moëns","1943-01-01","1975-01-01"
"01252","0","MOGNENEINS","Mogneneins","Mogneneins","1943-01-01",""
"01253","0","MOLLON","Mollon","Mollon","1943-01-01","1974-01-01"
"01254","0","MONTAGNAT","Montagnat","Montagnat","1943-01-01",""
"01255","0","MONTAGNIEU","Montagnieu","Montagnieu","1943-01-01",""
"01256","0","MONTANAY","Montanay","Montanay","1943-01-01","1967-12-31"
"01257","0","MONTANGES","Montanges","Montanges","1943-01-01",""
"01258","0","MONTCEAUX","Montceaux","Montceaux","1943-01-01",""
"01259","0","MONTCET","Montcet","Montcet","1943-01-01",""
"01260","2","MONTELLIER","Montellier","Le Montellier","1943-01-01",""
"01261","0","MONTHIEUX","Monthieux","Monthieux","1943-01-01",""
"01262","0","MONTLUEL","Montluel","Montluel","1943-01-01",""
"01263","0","MONTMERLE","Montmerle","Montmerle","1943-01-01","1962-05-16"
"01263","0","MONTMERLE SUR SAONE","Montmerle-sur-Saône","Montmerle-sur-Saône","1962-05-16",""
"01264","0","MONTRACOL","Montracol","Montracol","1943-01-01",""
"01265","0","MONTREAL","Montréal","Montréal","1943-01-01","1979-12-31"
"01265","0","MONTREAL LA CLUSE","Montréal-la-Cluse","Montréal-la-Cluse","1979-12-31",""
"01266","0","MONTREVEL","Montrevel","Montrevel","1943-01-01","1955-01-29"
"01266","0","MONTREVEL EN BRESSE","Montrevel-en-Bresse","Montrevel-en-Bresse","1955-01-29",""
